payment_id,policy_id,payment_date,payment_amount,payment_method
54,3,2023-11-23,97.76,Credit Card
55,3,2023-12-23,97.76,Credit Card
56,3,2024-01-23,97.76,Credit Card
57,3,2024-02-23,97.76,Bank Transfer
58,3,2024-03-23,97.76,Credit Card
59,3,2024-04-23,97.76,Check
60,3,2024-05-23,97.76,Credit Card
61,3,2024-06-23,97.76,Credit Card
62,3,2024-07-23,97.76,Debit Card
63,3,2024-08-23,97.76,Bank Transfer
64,3,2024-09-23,97.76,Debit Card
65,3,2024-10-23,97.76,Bank Transfer
66,3,2024-11-23,97.76,Bank Transfer
67,3,2024-12-23,97.76,Debit Card
68,3,2025-01-23,97.76,Bank Transfer
69,3,2025-02-23,97.76,Credit Card
70,3,2025-03-23,97.76,Credit Card
71,3,2025-04-23,97.76,Check
72,3,2025-05-23,97.76,Credit Card
73,3,2025-06-23,97.76,Bank Transfer
74,4,2021-12-18,660.35,Credit Card
75,4,2022-01-18,220.12,Bank Transfer
76,4,2022-02-18,220.12,Credit Card
77,4,2022-03-18,220.12,Check
78,4,2022-04-18,660.35,Credit Card
79,4,2022-05-18,220.12,Debit Card
80,4,2022-06-18,220.12,Credit Card
81,4,2022-07-18,220.12,Credit Card
82,4,2022-08-18,220.12,Credit Card
83,4,2022-09-18,220.12,Bank Transfer
84,4,2022-10-18,660.35,Credit Card
85,4,2022-11-18,220.12,Credit Card
86,4,2022-12-18,220.12,Check
87,4,2023-01-18,220.12,Bank Transfer
88,4,2023-02-18,220.12,Debit Card
89,4,2023-03-18,220.12,Check
90,4,2023-04-18,220.12,Bank Transfer
91,4,2023-05-18,220.12,Credit Card
92,4,2023-06-18,220.12,Check
93,4,2023-07-18,220.12,Check
94,4,2023-08-18,220.12,Credit Card
95,5,2022-06-25,116.79,Check
96,5,2022-07-25,116.79,Credit Card
97,5,2022-08-25,116.79,Credit Card
98,5,2022-09-25,116.79,Credit Card
99,5,2022-10-25,116.79,Credit Card
100,5,2022-11-25,350.37,Debit Card
101,5,2022-12-25,116.79,Debit Card
102,5,2023-01-25,116.79,Bank Transfer
103,5,2023-02-25,116.79,Check
104,5,2023-03-25,116.79,Credit Card
105,5,2023-04-25,116.79,Bank Transfer
106,5,2023-05-25,116.79,Credit Card
107,5,2023-06-25,116.79,Bank Transfer
108,6,2022-06-10,257.15,Check
109,6,2022-07-10,257.15,Debit Card
110,6,2022-08-10,257.15,Debit Card
111,6,2022-09-10,257.15,Bank Transfer
112,6,2022-10-10,257.15,Bank Transfer
113,6,2022-11-10,257.15,Credit Card
114,6,2022-12-10,257.15,Check
115,6,2023-01-10,257.15,Credit Card
116,6,2023-02-10,257.15,Credit Card
117,6,2023-03-10,771.44,Credit Card
118,6,2023-04-10,257.15,Credit Card
119,6,2023-05-10,257.15,Credit Card
120,6,2023-06-10,257.15,Check
121,6,2023-07-10,257.15,Credit Card
122,6,2023-08-10,257.15,Debit Card
123,6,2023-09-10,257.15,Bank Transfer
124,6,2023-10-10,257.15,Check
125,6,2023-11-10,257.15,Credit Card
126,6,2023-12-10,257.15,Debit Card
127,6,2024-01-10,257.15,Credit Card
128,6,2024-02-10,771.44,Credit Card
129,6,2024-03-10,257.15,Credit Card
130,6,2024-04-10,257.15,Check
131,7,2024-01-07,433.42,Debit Card
132,7,2024-02-07,433.42,Credit Card
133,7,2024-03-07,433.42,Credit Card
134,7,2024-04-07,433.42,Check
135,7,2024-05-07,433.42,Bank Transfer
136,7,2024-06-07,433.42,Bank Transfer
137,7,2024-07-07,433.42,Bank Transfer
138,7,2024-08-07,433.42,Credit Card
139,7,2024-09-07,433.42,Bank Transfer
140,7,2024-10-07,433.42,Check
141,7,2024-11-07,433.42,Check
142,7,2024-12-07,1300.27,Credit Card
143,7,2025-01-07,433.42,Check
144,7,2025-02-07,433.42,Credit Card
145,7,2025-03-07,433.42,Credit Card
146,7,2025-04-07,433.42,Debit Card
147,8,2023-12-16,657.97,Debit Card
148,8,2024-01-16,657.97,Bank Transfer
149,8,2024-02-16,657.97,Bank Transfer
150,8,2024-03-16,657.97,Credit Card
151,8,2024-04-16,657.97,Check
152,8,2024-05-16,657.97,Bank Transfer
153,8,2024-06-16,657.97,Credit Card
154,8,2024-07-16,1973.90,Bank Transfer
155,8,2024-08-16,657.97,Check
156,8,2024-09-16,657.97,Credit Card
157,8,2024-10-16,657.97,Credit Card
158,8,2024-11-16,657.97,Bank Transfer
159,8,2024-12-16,657.97,Credit Card
160,8,2025-01-16,657.97,Check
161,8,2025-02-16,657.97,Credit Card
162,9,2020-07-16,222.35,Credit Card
163,9,2020-08-16,222.35,Check
164,9,2020-09-16,222.35,Credit Card
165,9,2020-10-16,222.35,Credit Card
166,9,2020-11-16,222.35,Debit Card
167,9,2020-12-16,667.05,Debit Card
168,9,2021-01-16,222.35,Debit Card
169,9,2021-02-16,222.35,Credit Card
170,9,2021-03-16,222.35,Bank Transfer
171,9,2021-04-16,222.35,Check
172,9,2021-05-16,222.35,Credit Card
173,9,2021-06-16,222.35,Debit Card
174,9,2021-07-16,222.35,Bank Transfer
175,9,2021-08-16,222.35,Check
176,9,2021-09-16,222.35,Check
177,9,2021-10-16,222.35,Credit Card
178,9,2021-11-16,222.35,Check
179,9,2021-12-16,222.35,Credit Card
180,9,2022-01-16,222.35,Check
181,9,2022-02-16,222.35,Debit Card
182,9,2022-03-16,222.35,Bank Transfer
183,10,2023-10-26,259.32,Credit Card
184,10,2023-11-26,259.32,Debit Card
185,10,2023-12-26,259.32,Bank Transfer
186,10,2024-01-26,259.32,Credit Card
187,10,2024-02-26,259.32,Debit Card
188,10,2024-03-26,259.32,Bank Transfer
189,10,2024-04-26,259.32,Credit Card
190,10,2024-05-26,259.32,Credit Card
191,10,2024-06-26,259.32,Bank Transfer
192,10,2024-07-26,259.32,Check
193,10,2024-08-26,777.95,Bank Transfer
194,10,2024-09-26,259.32,Check
195,10,2024-10-26,259.32,Debit Card
196,10,2024-11-26,259.32,Credit Card
197,10,2024-12-26,259.32,Bank Transfer
198,10,2025-01-26,259.32,Debit Card
199,10,2025-02-26,259.32,Bank Transfer
200,10,2025-03-26,777.95,Debit Card
201,10,2025-04-26,259.32,Debit Card
202,10,2025-05-26,259.32,Credit Card
203,10,2025-06-26,259.32,Debit Card
204,10,2025-07-26,259.32,Bank Transfer
205,11,2020-07-29,172.76,Credit Card
206,11,2020-08-29,172.76,Credit Card
207,11,2020-09-29,172.76,Credit Card
208,11,2020-10-29,172.76,Credit Card
209,11,2020-11-29,172.76,Credit Card
210,11,2020-12-29,172.76,Debit Card
211,11,2021-01-29,172.76,Credit Card
212,11,2021-03-01,172.76,Check
213,11,2021-03-29,172.76,Check
214,11,2021-04-29,172.76,Debit Card
215,11,2021-05-29,172.76,Debit Card
216,11,2021-06-29,172.76,Bank Transfer
217,11,2021-07-29,172.76,Bank Transfer
218,11,2021-08-29,172.76,Debit Card
219,11,2021-09-29,172.76,Credit Card
220,11,2021-10-29,172.76,Credit Card
221,11,2021-11-29,172.76,Check
222,12,2020-03-08,157.64,Debit Card
223,12,2020-04-08,157.64,Credit Card
224,12,2020-05-08,157.64,Credit Card
225,12,2020-06-08,157.64,Debit Card
226,12,2020-07-08,157.64,Credit Card
227,12,2020-08-08,157.64,Check
228,12,2020-09-08,157.64,Credit Card
229,12,2020-10-08,157.64,Credit Card
230,12,2020-11-08,157.64,Bank Transfer
231,12,2020-12-08,157.64,Debit Card
232,12,2021-01-08,157.64,Check
233,12,2021-02-08,157.64,Check
234,12,2021-03-08,472.92,Debit Card
235,12,2021-04-08,157.64,Credit Card
236,12,2021-05-08,157.64,Debit Card
237,12,2021-06-08,157.64,Bank Transfer
238,12,2021-07-08,157.64,Credit Card
239,12,2021-08-08,157.64,Credit Card
240,12,2021-09-08,157.64,Credit Card
241,12,2021-10-08,157.64,Credit Card
242,12,2021-11-08,157.64,Debit Card
243,12,2021-12-08,157.64,Check
244,12,2022-01-08,157.64,Debit Card
245,12,2022-02-08,157.64,Debit Card
246,12,2022-03-08,157.64,Check
247,12,2022-04-08,157.64,Credit Card
248,12,2022-05-08,157.64,Check
249,12,2022-06-08,157.64,Check
250,12,2022-07-08,157.64,Debit Card
251,12,2022-08-08,157.64,Bank Transfer
252,12,2022-09-08,157.64,Credit Card
253,12,2022-10-08,157.64,Credit Card
254,12,2022-11-08,157.64,Credit Card
255,12,2022-12-08,157.64,Check
256,12,2023-01-08,157.64,Check
257,12,2023-02-08,157.64,Check
258,12,2023-03-08,472.92,Bank Transfer
259,13,2022-09-20,376.44,Credit Card
260,13,2022-10-20,1129.33,Check
261,13,2022-11-20,376.44,Debit Card
262,13,2022-12-20,376.44,Credit Card
263,13,2023-01-20,376.44,Check
264,13,2023-02-20,376.44,Bank Transfer
265,13,2023-03-20,376.44,Credit Card
266,13,2023-04-20,376.44,Debit Card
267,13,2023-05-20,1129.33,Check
268,13,2023-06-20,376.44,Credit Card
269,13,2023-07-20,376.44,Credit Card
270,13,2023-08-20,376.44,Check
271,13,2023-09-20,376.44,Credit Card
272,13,2023-10-20,376.44,Credit Card
273,13,2023-11-20,376.44,Bank Transfer
274,13,2023-12-20,376.44,Debit Card
275,13,2024-01-20,1129.33,Bank Transfer
276,13,2024-02-20,376.44,Check
277,13,2024-03-20,376.44,Credit Card
278,13,2024-04-20,1129.33,Credit Card
279,13,2024-05-20,376.44,Debit Card
280,13,2024-06-20,1129.33,Bank Transfer
281,13,2024-07-20,376.44,Bank Transfer
282,13,2024-08-20,376.44,Credit Card
283,13,2024-09-20,376.44,Credit Card
284,13,2024-10-20,1129.33,Credit Card
285,13,2024-11-20,376.44,Debit Card
286,13,2024-12-20,376.44,Debit Card
287,13,2025-01-20,376.44,Debit Card
288,14,2020-06-29,122.68,Debit Card
289,14,2020-07-29,122.68,Check
290,14,2020-08-29,122.68,Debit Card
291,14,2020-09-29,122.68,Check
292,14,2020-10-29,122.68,Credit Card
293,14,2020-11-29,122.68,Credit Card
294,14,2020-12-29,122.68,Bank Transfer
295,14,2021-01-29,122.68,Credit Card
296,14,2021-03-01,122.68,Bank Transfer
297,14,2021-03-29,122.68,Bank Transfer
298,14,2021-04-29,122.68,Bank Transfer
299,14,2021-05-29,122.68,Check
300,14,2021-06-29,122.68,Credit Card
301,14,2021-07-29,122.68,Check
302,14,2021-08-29,122.68,Credit Card
303,14,2021-09-29,122.68,Bank Transfer
304,14,2021-10-29,122.68,Bank Transfer
305,14,2021-11-29,122.68,Bank Transfer
306,14,2021-12-29,122.68,Bank Transfer
307,14,2022-01-29,122.68,Check
308,14,2022-03-01,122.68,Bank Transfer
309,14,2022-03-29,122.68,Debit Card
310,14,2022-04-29,122.68,Check
311,14,2022-05-29,122.68,Credit Card
312,14,2022-06-29,122.68,Credit Card
313,14,2022-07-29,122.68,Credit Card
314,14,2022-08-29,122.68,Credit Card
315,14,2022-09-29,122.68,Bank Transfer
316,14,2022-10-29,122.68,Credit Card
317,14,2022-11-29,122.68,Check
318,14,2022-12-29,122.68,Check
319,14,2023-01-29,122.68,Credit Card
320,14,2023-03-01,122.68,Credit Card
321,14,2023-03-29,122.68,Debit Card
322,14,2023-04-29,122.68,Credit Card
323,14,2023-05-29,122.68,Credit Card
324,14,2023-06-29,122.68,Check
325,14,2023-07-29,122.68,Bank Transfer
326,14,2023-08-29,122.68,Check
327,15,2019-03-08,475.30,Credit Card
328,15,2019-04-08,475.30,Debit Card
329,15,2019-05-08,1425.90,Check
330,15,2019-06-08,1425.90,Check
331,15,2019-07-08,475.30,Credit Card
332,15,2019-08-08,475.30,Credit Card
333,15,2019-09-08,475.30,Credit Card
334,15,2019-10-08,475.30,Credit Card
335,15,2019-11-08,475.30,Debit Card
336,15,2019-12-08,475.30,Credit Card
337,15,2020-01-08,1425.90,Credit Card
338,15,2020-02-08,475.30,Debit Card
339,15,2020-03-08,475.30,Debit Card
340,15,2020-04-08,475.30,Credit Card
341,15,2020-05-08,475.30,Credit Card
342,15,2020-06-08,475.30,Check
343,15,2020-07-08,475.30,Check
344,15,2020-08-08,475.30,Check
345,15,2020-09-08,475.30,Debit Card
346,15,2020-10-08,475.30,Credit Card
347,15,2020-11-08,475.30,Credit Card
348,15,2020-12-08,475.30,Debit Card
349,15,2021-01-08,475.30,Check
350,15,2021-02-08,475.30,Debit Card
351,15,2021-03-08,475.30,Credit Card
352,15,2021-04-08,475.30,Debit Card
353,15,2021-05-08,475.30,Credit Card
354,15,2021-06-08,475.30,Credit Card
355,15,2021-07-08,475.30,Bank Transfer
356,15,2021-08-08,475.30,Credit Card
357,15,2021-09-08,475.30,Bank Transfer
358,15,2021-10-08,475.30,Credit Card
359,15,2021-11-08,475.30,Bank Transfer
360,15,2021-12-08,475.30,Credit Card
361,15,2022-01-08,1425.90,Credit Card
362,16,2019-05-08,292.95,Credit Card
363,16,2019-06-08,292.95,Bank Transfer
364,16,2019-07-08,292.95,Bank Transfer
365,16,2019-08-08,878.86,Credit Card
366,16,2019-09-08,292.95,Credit Card
367,16,2019-10-08,292.95,Check
368,16,2019-11-08,292.95,Debit Card
369,16,2019-12-08,292.95,Check
370,16,2020-01-08,292.95,Debit Card
371,16,2020-02-08,292.95,Check
372,16,2020-03-08,292.95,Credit Card
373,16,2020-04-08,292.95,Check
374,16,2020-05-08,292.95,Credit Card
375,16,2020-06-08,292.95,Credit Card
376,16,2020-07-08,292.95,Check
377,16,2020-08-08,878.86,Bank Transfer
378,16,2020-09-08,878.86,Check
379,16,2020-10-08,292.95,Credit Card
380,16,2020-11-08,292.95,Credit Card
381,17,2019-03-12,561.05,Credit Card
382,17,2019-04-12,561.05,Credit Card
383,17,2019-05-12,561.05,Bank Transfer
384,17,2019-06-12,561.05,Debit Card
385,17,2019-07-12,561.05,Credit Card
386,17,2019-08-12,561.05,Bank Transfer
387,17,2019-09-12,561.05,Bank Transfer
388,17,2019-10-12,561.05,Credit Card
389,17,2019-11-12,561.05,Check
390,17,2019-12-12,561.05,Credit Card
391,17,2020-01-12,561.05,Bank Transfer
392,17,2020-02-12,561.05,Debit Card
393,17,2020-03-12,561.05,Debit Card
394,17,2020-04-12,561.05,Credit Card
395,17,2020-05-12,561.05,Credit Card
396,17,2020-06-12,561.05,Bank Transfer
397,17,2020-07-12,1683.14,Credit Card
398,17,2020-08-12,561.05,Debit Card
399,17,2020-09-12,561.05,Debit Card
400,17,2020-10-12,561.05,Bank Transfer
401,17,2020-11-12,561.05,Bank Transfer
402,17,2020-12-12,561.05,Credit Card
403,17,2021-01-12,1683.14,Bank Transfer
404,17,2021-02-12,561.05,Credit Card
405,17,2021-03-12,561.05,Bank Transfer
406,17,2021-04-12,561.05,Check
407,17,2021-05-12,1683.14,Bank Transfer
408,17,2021-06-12,1683.14,Check
409,17,2021-07-12,561.05,Bank Transfer
410,17,2021-08-12,561.05,Credit Card
411,17,2021-09-12,561.05,Debit Card
412,17,2021-10-12,561.05,Credit Card
413,17,2021-11-12,561.05,Credit Card
414,17,2021-12-12,561.05,Credit Card
415,17,2022-01-12,1683.14,Bank Transfer
416,17,2022-02-12,561.05,Debit Card
417,17,2022-03-12,561.05,Credit Card
418,18,2021-04-12,96.39,Check
419,18,2021-05-12,96.39,Bank Transfer
420,18,2021-06-12,96.39,Debit Card
421,18,2021-07-12,96.39,Debit Card
422,18,2021-08-12,289.18,Bank Transfer
423,18,2021-09-12,96.39,Credit Card
424,18,2021-10-12,289.18,Credit Card
425,18,2021-11-12,96.39,Bank Transfer
426,18,2021-12-12,96.39,Debit Card
427,18,2022-01-12,96.39,Debit Card
428,18,2022-02-12,96.39,Credit Card
429,18,2022-03-12,96.39,Credit Card
430,18,2022-04-12,96.39,Credit Card
431,18,2022-05-12,96.39,Credit Card
432,18,2022-06-12,96.39,Check
433,18,2022-07-12,96.39,Debit Card
434,18,2022-08-12,96.39,Bank Transfer
435,18,2022-09-12,96.39,Bank Transfer
436,18,2022-10-12,96.39,Credit Card
437,18,2022-11-12,96.39,Debit Card
438,18,2022-12-12,96.39,Credit Card
439,18,2023-01-12,96.39,Check
440,18,2023-02-12,96.39,Credit Card
441,18,2023-03-12,96.39,Bank Transfer
442,18,2023-04-12,96.39,Credit Card
443,18,2023-05-12,96.39,Debit Card
444,18,2023-06-12,96.39,Credit Card
445,18,2023-07-12,96.39,Debit Card
446,18,2023-08-12,96.39,Check
447,18,2023-09-12,96.39,Credit Card
448,18,2023-10-12,96.39,Debit Card
449,18,2023-11-12,96.39,Check
450,18,2023-12-12,96.39,Check
451,18,2024-01-12,96.39,Check
452,19,2021-05-04,161.07,Debit Card
453,19,2021-06-04,161.07,Debit Card
454,19,2021-07-04,161.07,Credit Card
455,19,2021-08-04,161.07,Check
456,19,2021-09-04,483.20,Debit Card
457,19,2021-10-04,161.07,Credit Card
458,19,2021-11-04,161.07,Credit Card
459,19,2021-12-04,161.07,Credit Card
460,19,2022-01-04,161.07,Debit Card
461,19,2022-02-04,161.07,Debit Card
462,19,2022-03-04,161.07,Bank Transfer
463,19,2022-04-04,161.07,Credit Card
464,19,2022-05-04,161.07,Bank Transfer
465,20,2023-12-29,619.02,Credit Card
466,20,2024-01-29,619.02,Bank Transfer
467,20,2024-02-29,619.02,Credit Card
468,20,2024-03-29,619.02,Credit Card
469,20,2024-04-29,619.02,Debit Card
470,20,2024-05-29,1857.07,Check
471,20,2024-06-29,619.02,Debit Card
472,20,2024-07-29,619.02,Credit Card
473,20,2024-08-29,619.02,Credit Card
474,20,2024-09-29,1857.07,Bank Transfer
475,20,2024-10-29,619.02,Debit Card
476,20,2024-11-29,619.02,Check
477,20,2024-12-29,619.02,Debit Card
478,20,2025-01-29,619.02,Bank Transfer
479,20,2025-03-01,619.02,Credit Card
480,20,2025-03-29,619.02,Credit Card
481,20,2025-04-29,619.02,Credit Card
482,21,2023-12-20,191.14,Bank Transfer
483,21,2024-01-20,191.14,Debit Card
484,21,2024-02-20,191.14,Bank Transfer
485,21,2024-03-20,573.42,Check
486,21,2024-04-20,191.14,Credit Card
487,21,2024-05-20,191.14,Debit Card
488,21,2024-06-20,191.14,Debit Card
489,21,2024-07-20,191.14,Credit Card
490,21,2024-08-20,191.14,Bank Transfer
491,21,2024-09-20,573.42,Credit Card
492,21,2024-10-20,191.14,Credit Card
493,21,2024-11-20,191.14,Check
494,21,2024-12-20,191.14,Check
495,21,2025-01-20,191.14,Credit Card
496,21,2025-02-20,191.14,Check
497,21,2025-03-20,191.14,Credit Card
498,21,2025-04-20,191.14,Debit Card
499,21,2025-05-20,191.14,Debit Card
500,21,2025-06-20,573.42,Credit Card
501,21,2025-07-20,191.14,Debit Card
502,21,2025-08-20,191.14,Credit Card
503,21,2025-09-20,191.14,Credit Card
504,21,2025-10-20,191.14,Check
505,21,2025-11-20,191.14,Credit Card
506,22,2022-12-11,150.01,Check
507,22,2023-01-11,150.01,Credit Card
508,22,2023-02-11,150.01,Credit Card
509,22,2023-03-11,150.01,Debit Card
510,22,2023-04-11,150.01,Check
511,22,2023-05-11,150.01,Debit Card
512,22,2023-06-11,150.01,Credit Card
513,22,2023-07-11,150.01,Debit Card
514,22,2023-08-11,150.01,Bank Transfer
515,22,2023-09-11,150.01,Credit Card
516,22,2023-10-11,150.01,Bank Transfer
517,22,2023-11-11,150.01,Debit Card
518,22,2023-12-11,150.01,Credit Card
519,22,2024-01-11,150.01,Debit Card
520,22,2024-02-11,150.01,Credit Card
521,22,2024-03-11,150.01,Debit Card
522,22,2024-04-11,150.01,Credit Card
523,22,2024-05-11,150.01,Credit Card
524,22,2024-06-11,150.01,Bank Transfer
525,22,2024-07-11,150.01,Credit Card
526,22,2024-08-11,150.01,Bank Transfer
527,22,2024-09-11,150.01,Debit Card
528,22,2024-10-11,150.01,Credit Card
529,22,2024-11-11,150.01,Bank Transfer
530,22,2024-12-11,150.01,Credit Card
531,22,2025-01-11,450.04,Bank Transfer
532,22,2025-02-11,150.01,Bank Transfer
533,22,2025-03-11,150.01,Debit Card
534,23,2022-12-02,127.57,Credit Card
535,23,2023-01-02,127.57,Debit Card
536,23,2023-02-02,127.57,Debit Card
537,23,2023-03-02,127.57,Bank Transfer
538,23,2023-04-02,127.57,Debit Card
539,23,2023-05-02,127.57,Check
540,23,2023-06-02,127.57,Check
541,23,2023-07-02,127.57,Check
542,23,2023-08-02,127.57,Check
543,23,2023-09-02,127.57,Credit Card
544,23,2023-10-02,127.57,Credit Card
545,23,2023-11-02,127.57,Bank Transfer
546,23,2023-12-02,127.57,Check
547,23,2024-01-02,127.57,Debit Card
548,23,2024-02-02,127.57,Check
549,23,2024-03-02,127.57,Credit Card
550,23,2024-04-02,127.57,Check
551,23,2024-05-02,127.57,Bank Transfer
552,23,2024-06-02,127.57,Check
553,23,2024-07-02,127.57,Credit Card
554,23,2024-08-02,127.57,Check
555,23,2024-09-02,127.57,Credit Card
556,23,2024-10-02,382.70,Check
557,23,2024-11-02,127.57,Bank Transfer
558,23,2024-12-02,127.57,Credit Card
559,23,2025-01-02,127.57,Credit Card
560,24,2018-11-25,174.09,Bank Transfer
561,24,2018-12-25,174.09,Bank Transfer
562,24,2019-01-25,174.09,Credit Card
563,24,2019-02-25,174.09,Credit Card
564,24,2019-03-25,174.09,Credit Card
565,24,2019-04-25,174.09,Bank Transfer
566,24,2019-05-25,174.09,Check
567,24,2019-06-25,174.09,Credit Card
568,24,2019-07-25,174.09,Check
569,24,2019-08-25,174.09,Check
570,24,2019-09-25,174.09,Check
571,24,2019-10-25,174.09,Credit Card
572,25,2020-12-23,127.98,Credit Card
573,25,2021-01-23,127.98,Check
574,25,2021-02-23,127.98,Bank Transfer
575,25,2021-03-23,127.98,Bank Transfer
576,25,2021-04-23,127.98,Credit Card
577,25,2021-05-23,127.98,Debit Card
578,25,2021-06-23,127.98,Bank Transfer
579,25,2021-07-23,127.98,Bank Transfer
580,25,2021-08-23,127.98,Credit Card
581,25,2021-09-23,127.98,Credit Card
582,25,2021-10-23,127.98,Credit Card
583,25,2021-11-23,127.98,Bank Transfer
584,25,2021-12-23,127.98,Credit Card
585,25,2022-01-23,127.98,Bank Transfer
586,25,2022-02-23,127.98,Credit Card
587,25,2022-03-23,383.93,Credit Card
588,25,2022-04-23,127.98,Credit Card
589,25,2022-05-23,127.98,Debit Card
590,25,2022-06-23,127.98,Check
591,25,2022-07-23,127.98,Debit Card
592,25,2022-08-23,127.98,Bank Transfer
593,25,2022-09-23,127.98,Credit Card
594,25,2022-10-23,127.98,Credit Card
595,25,2022-11-23,127.98,Check
596,25,2022-12-23,127.98,Check
597,25,2023-01-23,127.98,Debit Card
598,25,2023-02-23,127.98,Credit Card
599,25,2023-03-23,127.98,Check
600,25,2023-04-23,127.98,Debit Card
601,25,2023-05-23,127.98,Check
602,25,2023-06-23,127.98,Credit Card
603,25,2023-07-23,127.98,Debit Card
604,25,2023-08-23,127.98,Credit Card
605,25,2023-09-23,127.98,Credit Card
606,25,2023-10-23,383.93,Check
607,26,2020-08-27,484.76,Debit Card
608,26,2020-09-27,1454.27,Debit Card
609,26,2020-10-27,484.76,Credit Card
610,26,2020-11-27,484.76,Check
611,26,2020-12-27,484.76,Credit Card
612,26,2021-01-27,484.76,Debit Card
613,26,2021-02-27,484.76,Debit Card
614,26,2021-03-27,484.76,Check
615,26,2021-04-27,484.76,Check
616,26,2021-05-27,484.76,Debit Card
617,26,2021-06-27,484.76,Credit Card
618,26,2021-07-27,484.76,Credit Card
619,26,2021-08-27,484.76,Check
620,26,2021-09-27,484.76,Credit Card
621,26,2021-10-27,484.76,Check
622,26,2021-11-27,484.76,Check
623,26,2021-12-27,484.76,Credit Card
624,26,2022-01-27,484.76,Credit Card
625,26,2022-02-27,484.76,Credit Card
626,26,2022-03-27,484.76,Credit Card
627,26,2022-04-27,1454.27,Bank Transfer
628,26,2022-05-27,1454.27,Debit Card
629,26,2022-06-27,1454.27,Debit Card
630,26,2022-07-27,484.76,Bank Transfer
631,26,2022-08-27,484.76,Check
632,26,2022-09-27,484.76,Check
633,26,2022-10-27,484.76,Credit Card
634,26,2022-11-27,484.76,Bank Transfer
635,26,2022-12-27,484.76,Debit Card
636,26,2023-01-27,484.76,Credit Card
637,26,2023-02-27,484.76,Credit Card
638,26,2023-03-27,1454.27,Debit Card
639,26,2023-04-27,484.76,Check
640,27,2022-10-30,506.19,Bank Transfer
641,27,2022-11-30,506.19,Bank Transfer
642,27,2022-12-30,506.19,Bank Transfer
643,27,2023-01-30,506.19,Bank Transfer
644,27,2023-03-02,506.19,Credit Card
645,27,2023-03-30,1518.57,Check
646,27,2023-04-30,506.19,Check
647,27,2023-05-30,506.19,Bank Transfer
648,27,2023-06-30,506.19,Check
649,28,2021-03-02,249.50,Debit Card
650,28,2021-04-02,249.50,Debit Card
651,28,2021-05-02,249.50,Bank Transfer
652,28,2021-06-02,748.51,Bank Transfer
653,28,2021-07-02,249.50,Debit Card
654,28,2021-08-02,249.50,Check
655,28,2021-09-02,249.50,Debit Card
656,28,2021-10-02,249.50,Debit Card
657,28,2021-11-02,249.50,Credit Card
658,28,2021-12-02,249.50,Credit Card
659,28,2022-01-02,249.50,Credit Card
660,28,2022-02-02,249.50,Check
661,28,2022-03-02,249.50,Bank Transfer
662,28,2022-04-02,249.50,Debit Card
663,28,2022-05-02,249.50,Credit Card
664,28,2022-06-02,249.50,Credit Card
665,28,2022-07-02,748.51,Bank Transfer
666,28,2022-08-02,249.50,Debit Card
667,28,2022-09-02,249.50,Check
668,28,2022-10-02,249.50,Bank Transfer
669,28,2022-11-02,249.50,Debit Card
